hhid,Total,start_date,urbrur,region,sex_of_head,age_of_head_cat,attain,apci_dec,main_language,wgt_hh,q02_58_01,q02_58_02,q02_58_04,q02_58_13,q02_58_15,q02_59_01,q02_59_02,q02_59_04,q02_59_13,q02_59_15,q02_60_01,q02_60_02,q02_60_04,q02_60_13,q02_60_15,q07_02_1,q07_02_2,q07_02_3,q07_02_4,q07_02_6,crops_possessed_1,crops_possessed_2,crops_possessed_3,crops_possessed_4,crops_possessed_6,q07_04_1,q07_04_2,q07_04_3,q07_04_4,q07_04_6,crops_given_away_1,crops_given_away_2,crops_given_away_3,crops_given_away_4,crops_given_away_6,crops_sold_1,crops_sold_2,crops_sold_3,crops_sold_4,crops_sold_6,q07_08_3
0206082B01104                          ,Total,2015-04-29,Urban,Erongo,Female,18-59,Secondary,4,Nama/Damara,99.13430440497869,1,1,1,1,1,3.0,3.0,2.0,2.0,7.0,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0206082B01308                          ,Total,2015-04-29,Urban,Erongo,Male,18-59,Secondary,9,Oshiwambo,96.1143531040983,1,1,1,1,0,7.0,2.0,3.0,7.0,,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
1108077A02701                          ,Total,2015-04-29,Rural,Oshana,Female,18-59,Secondary,9,Oshiwambo,35.013931892126195,1,0,1,0,0,2.0,,3.0,,,bought_using_cash,,bought_using_cash,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
1108077A01601                          ,Total,2015-04-29,Rural,Oshana,Male,18-59,Tertiary,10,Oshiwambo,76.20247135408499,1,0,0,0,0,3.0,,,,,bought_using_cash,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
1108077A00801                          ,Total,2015-04-29,Rural,Oshana,Female,60+,Secondary,8,Oshiwambo,36.81391011350821,0,0,0,0,0,,,,,,,,,,,0,1,1,0,0.0,,50.0,6.0,,,,10.0,6.0,,,,0.0,0.0,,,,0.0,0.0,,,0
1108077A00201                          ,Total,2015-04-29,Rural,Oshana,Female,18-59,Secondary,4,Oshiwambo,31.747256897085,1,0,1,0,0,1.0,,3.0,,,bought_using_cash,,bought_using_cash,,,1,1,1,0,0.0,1.0,6.0,8.0,,,1.0,6.0,7.0,,,0.0,0.0,1.0,,,0.0,0.0,0.0,,,0
0501025B03802                          ,Total,2015-04-29,Rural,Kavango West,Female,18-59,No formal education,8,Rukavango,29.886080429478106,1,0,0,0,0,1.0,,,,,gifts_friends__neighbours__relatives,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0501025B03301                          ,Total,2015-04-29,Rural,Kavango West,Female,18-59,No formal education,4,Rukavango,41.228957796258996,0,0,0,1,0,,,,7.0,,,,,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0501025B02601                          ,Total,2015-04-29,Rural,Kavango West,Male,18-59,Primary,2,Rukavango,36.54907271360929,0,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0206082B01001                          ,Total,2015-04-29,Urban,Erongo,Male,18-59,Secondary,10,Nama/Damara,127.999121704087,1,1,1,1,0,2.0,4.0,2.0,7.0,,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0508010B00201                          ,Total,2015-04-29,Rural,Kavango West,Male,18-59,Secondary,2,Rukavango,10.529779296146,1,1,0,0,0,1.0,7.0,,,,bought_using_cash,own_production_garden__livestock,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0508010A02601                          ,Total,2015-04-29,Rural,Kavango West,Male,18-59,No formal education,8,Rukavango,28.4376597802176,1,0,0,0,1,7.0,,,,2.0,bought_using_cash,,,,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0508010A02101                          ,Total,2015-04-29,Rural,Kavango West,Female,18-59,No formal education,1,Rukavango,21.668542468877806,1,1,0,0,0,1.0,7.0,,,,gifts_friends__neighbours__relatives,bought_using_cash,,,,1,1,1,0,0.0,50.0,50.0,25.0,,,50.0,50.0,25.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0
1103001B00301                          ,Total,2015-04-29,Rural,Oshana,Female,18-59,Secondary,7,Oshiwambo,150.172322902244,1,1,0,1,1,1.0,7.0,,7.0,2.0,bought_using_cash,own_production_garden__livestock,,bought_using_cash,bought_using_cash,0,1,1,0,0.0,,1000.0,250.0,,,,750.0,50.0,,,,0.0,200.0,,,,0.0,0.0,,,0
